organization_name,website,phone_number,org_address,org_description,schedule,gender,kids,active,last_update,zipcode
Catholic Community Services Tenant Law Center,http://ccsww.org/get-help/specialized-services/,(206) 324-6890,"100 23rd Ave. S.\, Randolph Carter Family Center","Legal services to prevent evictions for those at or below 200 percent of the Federal Poverty Level. Serves only residents of King County with housing issues in King County\, primarily single-parent households\, older adults and people with disabilities. Call for appointment. Does not accept walk-ins. *Services may be limited due to religious affiliation.","Mon. – Fri.\, 9 a.m. – 5 p.m.",no restrictions,allowed,t,,
King County Department of Public Defense,http://kingcounty.gov/depts/public-defense.aspx,(206) 296-7662,,"Legal representation for people charged with a crime who cannot afford an attorney. Representation also provided to youth\, people facing civil commitment\, people who could lose their children in a dependency petition\, and others in need of legal advocacy who cannot afford an attorney.","24 hours\, 7 days a week",no restrictions,allowed,t,,
Neighborhood Legal Clinics,http://kcba.org/For-the-Public/Free-Legal-Assistance/,(206) 267-7070,Location varies,Coordinates legal clinics across King County. No income restrictions. Serves King County residents or those who have a case filed in King County. Clients must call for an appointment. Bring any pertinent documents to the appointment. No Fees.,"Call: Tue.\, – Thurs.\, 9 a.m. – noon; Appointments are made seven days in advance only",no restrictions,allowed,t,,
Northwest Justice Project 211,http://washingtonlawhelp.org,211,401 Second Ave. S. Suite 407,"Legal advice and representation specializing in housing\, family\, health\, public benefits\, consumer and education law. Serves low-income people at or below 200 percent of the Federal Poverty Level. Cannot assist clients already represented by an attorney for this issue. Call 2-1-1 for screening or a referral. No fees.","Mon. – Fri.\, 8 a.m. – 6 p.m.",no restrictions,allowed,t,,
Public Law Library of King County,http://pllkc.org/wp/,Visit in person,"516 Third Ave. W621\, King County Courthouse",Legal help center supports finding and completing court forms and providing information about court rules and procedures. Offers a legal clinic with consultations and referrals. Cannot represent patrons in court. Serves everyone. Visit in person. No fees.,"Walk-in clinic: Wed.\,: 11:15 a.m. – 1:30 p.m.; Debt collection help: Tues 1 p.m. – 3 p.m.",no restrictions,allowed,t,,
Seattle Community Law Center,http://seattlecommlaw.org/projects/,(206) 686-7252,"1404 E. Yesler Way\, Suite 203","Representation\, advocacy and assistance applying for\, receiving\, or appealing decisions on Social Security benefits\, serving low-income and homeless individuals with disabilities. Help with Social Security overpayments and terminations. Call for screening\, appointment and fee information.","Mon. – Fri.\, 8 a.m. – 6 p.m.",no restrictions,allowed,t,,
Seattle Office for Civil Rights,http://seattle.gov/civilrights,(206) 684-4500,"810 Third Ave.\, Central Building\, Suite 750","Investigates and resolves complaints regarding discrimination in employment\, housing\, public places and contracting. The discriminatory act must have been committed within the Seattle city limits and have occurred within the last 180 days (non-housing) or 365 days (housing). Call or visit in person. No fees.","Mon. – Fri.\, 8 a.m. – 5 p.m.",no restrictions,allowed,t,,
"Solid Ground\, N. 45th St.",http://solid-ground.org/get-help,DSHS Benefits Help: (206) 694-6742; Tenant Info Hotline: (206) 694-6767,1501 N. 45th St.,Legal services to help clients obtain and retain public benefits. Provides information and referral for tenants facing eviction or struggling with other rental issues. Serves low-income residents of King County. No restrictions for advice and referrals. No fees. ,"DSHS/state benefits assistance: 24 hours line; tenant services: Mon.\, Thurs.\, 10:30 a.m. – 1:30 p.m.; Wed.\, 1:30 – 4:30 p.m.",no restrictions,allowed,t,,
"Tenants Union of Washington State\, 33rd Ave. NE",http://tenantsunion.org,(206) 723-0500,12736 33rd Ave. NE Suite 100,Phone hotline and drop-in service for Washington residents with information on landlord-tenant laws or strategies to prevent housing loss. Clients should have all documentation they have about their rental when calling. Call hotline or visit in person.,"Hotline: Mon. –Thurs.\, 10 a.m. – 12:30 p.m.\, 1:30 – 4 p.m.\, Fri.\, 10 a.m. – 12:30 p.m.; Drop-in clinic: Thurs.\, 4:30 p.m.– 6:30 p.m.",no restrictions,allowed,t,,
"Tenants Union of Washington State\, Ranier Ave. S.",http://tenantsunion.org,(206) 723-0500,5425 Rainier Ave. S. Suite B,Phone hotline and drop-in service for Washington residents with information on landlord-tenant laws or strategies to prevent housing loss. Clients should have all documentation they have about their rental when calling. Call hotline or visit in person.,"Hotline: Mon. –Thurs.\, 10 a.m. – 12:30 p.m.\, 1:30 – 4 p.m.\, Fri.\, 10 a.m. – 12:30 p.m.; Drop-in Clinic: Thurs.\, 1:30 p.m.– 4:00 p.m.",no restrictions,allowed,t,,
Unemployment Law Project,http://unemploymentlawproject.org,(206) 441-9178,1904 Third Ave Suite 604,Legal counseling and representation at administrative hearings for persons denied unemployment benefits. Telephone informa- tion and legal advice. Serves anyone who has opened a claim or is eligible to open a Washington state unemployment claim. Call for intake interview. No fees for information or advice with an attorney. Charges $200 if representation is successful.,"Mon. – Fri.\, 9 a.m. – 5 p.m.",no restrictions,allowed,t,,
The Northwest Network,http://nwnetwork.org,(206) 568-7777,Call for location,"Advocacy-based counseling over the phone or in person. Serves LGBTQ people of all ages who are being\, or who have been\, emotionally or physically abused by another person. No fees.",Mon. – Fri. 9 a.m. – 5 p.m.,no restrictions,allowed,t,,
Q-Law LGBTQ Legal Clinic,http://kcba.org/For-the-Public/Free-Legal-Assistance/,See website,"1216 Pine St.\, Suite 300","Hosts a legal clinic specifically designed to address the needs of lesbian\, gay\, bisexual and transgender individuals and couples. Serves King County residents or those who have a case filed in King County. See the website for details. No fees.",See website,no restrictions,allowed,t,,
Seattle Area Support Groups & Community Center,http://sasgcc.org/,(206) 322-2437,"115 15th Ave. E.\, Suite 201","Facilitates a variety of discussion and skill-building groups. Group and discussion focus varies but may include HIV/AIDS\, substance abuse and recovery\, or other LGBTQ relevant issues. Serves individuals who are LGBTQ identified or friendly. Call or visit the website for a current calendar and additional information about each group. Preregistration is required for some groups. No fees.","Sun. – Fri.\, 9 a.m. – 9 p.m.; Sat.\, 9 a.m. – 1:30 p.m.\, 5 – 9 p.m.",no restrictions,allowed,t,,
"St . Vincent de Paul\, Fourth Ave. S.",http://svdpseattle.org,(206) 767-9975 x 1127,5972 Fourth Ave. S.,Food pantry will collect mail. Clients must first register with the food pantry. Mail can only be held for up to one month. Serves homeless clients without a mailing address. Call for information or register in person during food pantry hours. No fees.,"Drop-in: Tue.\, Thurs. Fri\, Sat\, 11 a.m. – 2 p.m.",no restrictions,allowed,t,,
DESC Crisis Respite Program,http://desc.org/what-we-do/crisis-response/,(206) 464-1570 x 3057,517 Third Ave. ,"Temporary shelter\, behavioral health stabilization and case management\, serving homeless adults in King County with severe mental illnesses. Clients must have a referral from one of the following: Harborview Medical Center’s Psychiatric Emergency Services and Psychiatric Inpatient Units\, Seattle and King County’s Mental Health Courts\, King County psychiatric emergency rooms and inpatient units\, or another approved psychiatric mental health provider. No fees.","Mon. – Fri.\, 7:30 a.m. – 4 p.m.",no restrictions,allowed,t,,
IKRON Corporation,http://seattle.ikron.org/,(425) 242-1713,"3805 108th Ave. NE Suite 204\, Bellevue",Outpatient counseling services for mental health and substance use disorder needs. Agency provides DBHR-certified services(s). Serves everyone. Call for information. Accepts Apple Health (Medicaid) and private pay. Sliding scale fees. Call for information.,"Mon. – Fri.\, 8 a.m. – 5 p.m.; Sat.\, by appointment only.",no restrictions,allowed,t,,
"Therapeutic Health Services\, Rainier Ave. S.",http://ths-wa.org,(206) 723-1980,5802 Rainier Ave. S,"Youth and Family only.  Mental health services\, case management\, group counseling to serve mentally ill clients as well as those with co-occurring disorders. Call intake for an appointment. Sliding scale fees. Private pay\, Apple Health (Medicaid) and private insurance.","Mon. –Fri.\, 8 a.m. – 4:30 p.m.",no restrictions,allowed,t,,
"Valley Cities Counseling & Consultation\, Rainier Ave.",http://valleycities.org,(253) 833-7444,8444 Rainier Ave. S,"Mental health services\, primary health care and pharmacy services for anyone. Agency provides DBHR-certified service(s). Call for intake. For drop-in intakes\, call the Access number first for eligibility and what to bring. Sliding scale fees. Apple Health (Medicaid)\, Medicare. Those on Medicare must also be receiving Apple Health (Medicaid).  Veteran resources and mental health counseling\, including military related PTSD and military sexual trauma. Veterans do not have to be Valley Cities clients to access Veterans Services. Serves veterans\, including Active\, Reserves\, National Guard and their families.","Mon. – Fri.\, 8:30 a.m. – 5 p.m.; Drop-in: Mon. – Fri.\,8:30 a.m. – 2:30 p.m.",no restrictions,allowed,t,,
Columbia Legal Services,http://columbialegal.org,(206) 287-8625,"516 Third Ave.\, King County Courthouse\, Suite 621","Attorneys assist people struggling with fees\, fines and restitution\, being denied housing or employment because of their criminal background. Cannot assist with vacating/sealing/expunging criminal records. There are no time restrictions for age of criminal history. Annual gross income should be at or below 225 percent of the Federal Poverty Level. Call for an appointment and clinic location. No fees.","Mon. – Fri.\, 9 a.m. – 5 p.m.; Clinic: second Mon. and fourth Tue. of the month: 2:30 – 4:30 p.m.",no restrictions,allowed,t,,
Interaction Transition,http://interactiontransition.org/services/,(206) 324-3932,"1265 S. Main St.\, Suite 305-B","Helps ex-offenders find employment in areas such as warehouse\, manufacturing\, recycling and auto-work. Serves those recently released from jail or prison or those with barriers to employment related to their criminal record. Call for more information or visit in person. No fees.","Mon. – Fri.\, 9 a.m. – 4:30 p.m.",no restrictions,allowed,t,,
Pioneer Human Services CORP Program,http://pioneerhumanservices.org,(206) 772-6900,11900 Beacon Ave. S.,Residential substance abuse treatment for adults 18 and older who are involved in the criminal justice system and have a mental health and substance use disorder. Private pay clients can self-refer. Accepts Apple Health (Medicaid) and private pay.,"Mon. – Fri.\, 8 a.m. – 5 p.m.; Service hours vary",no restrictions,not allowed,t,,
Pioneer Human Services Job Training,http://pioneerhumanservices.org/job-skills,(206) 768-7333,7000 Highland Park Way SW,"Job training experience in manufacturing and food service following graduation from job readiness program for individuals who have at least one criminal conviction. Requires a referral by a probation officer\, corrections officer\, case manager or other referral source. Call for more information. No fees.","Mon. – Fri.\, 8 a.m. – 4 p.m.",no restrictions,allowed,t,,
"YWCA\, Fifth Ave.",http://ywcaworks.org,(206) 461-4888,1118 Fifth Ave.,"Provides ex-offenders with employment re-entry services and targeted job training including construction\, environmental\, culinary\, manufacturing\, and others. Serves those with criminal justice system involvement in the past 12 months or low-income King County residents with a criminal history\, but without an active warrant\, who are a recipient of SNAP (basic food) benefits and eligible to work in United States. Call for more information. No fees.","Mon. – Fri.\, 9 a.m. – 4 p.m.",no restrictions,allowed,t,,
Des Moines Senior Activity Center ,http://desmoineswa.gov/217/Senior-Services,(206) 878-1642; Shuttle: (206) 727-6262,"2045 S. 216th St.\, Des Moines","Wide range of services including lunch\, Meals on Wheels\, blood pressure checks\, Tai Chi\, enhanced fitness\, yoga\, watercolor and transportation. Provides health insurance assistance. Social workers are available by appointment. Serves adults 50 and older special lunch on Thursdays for adults who speak Spanish. Local senior shuttle provides transportation for errands and for the senior center\, must call three days in advance to reserve a seat. Most services are free\, call for details.","Office: Mon. – Fri.\, 9 a.m. – 4 p.m.; Hot meals: Mon. – Thurs.\, noon; Call for information and times for other available programs and services.",no restrictions,allowed,t,,
Hunger Intervention Program,http://hungerintervention.org/programs/,(206) 538-6567,"Lake City Community Center\, 12531 28th Ave. NE",Lunch and activities. Call or visit website for menu and activity calendar. Focuses on North Seattle residents 60 and older. Visit in person. Suggested donation is $4 for seniors 60 and older and $6 for anyone under 60.,"Mon.\, Wed.\, Fri. noon – 1 p.m.",no restrictions,allowed,t,,
Lazarus Center,http://ccswworg/get-help/shelter-homeless-services/lazarus-center,(206) 623-7219,2329 Rainier Avenue,"Provides a warm\, safe community atmosphere for homeless and marginally housed men and women age 50 and older. The center offers clothing\, restrooms\, shower facilities\, laundry facilities\, activities\, drug and alcohol counseling\, housing case management and counseling from VA outreach workers. Visit in person. Documents Required: Valid state ID. No fees.","Open: 7a.m. – 6:30 p.m. daily; breakfast\, 8 – 8:45 a.m.; lunch: 12:30 – 2:20 p.m.; dinner for overnight shelter guests",no restrictions,allowed,t,,
"Neighborhood Legal Clinics\, 23rd Ave. S.",http://kcba.org/For-the-Public/Free-Legal-Assistance/,(206) 267-7070,113 23rd Ave S.,"Call for times and to schedule an appointment. Appointments are only scheduled 7 days in advance. Provide legal consultation\, free limited legal advice and referrals for a wide range of civil legal issues including\, but not limited to\, living wills/ advance directives\, powers-of-attorney\, wills\, estate planning\, Apple Health (Medicaid)\, etc. Accommodations for disability and interpreters are provided free of cost. Serves King County residents or those who have a case filed in King County.",Tues. 7 - 9 p.m. (closed third Tuesday); Call for hours,no restrictions,allowed,t,,
"Neighborhood Legal Clinics\, 3rd Ave.",http://kcba.org/For-the-Public/Free-Legal-Assistance/,(206) 267-7070,"516 3rd Ave\, Room W621","Call for times and to schedule an appointment. Appointments are only scheduled 7 days in advance. Provide legal consultation\, free limited legal advice and referrals for a wide range of civil legal issues including\, but not limited to\, living wills/ advance directives\, powers-of-attorney\, wills\, estate planning\, Apple Health (Medicaid)\, etc. Accommodations for disability and interpreters are provided free of cost. Serves King County residents or those who have a case filed in King County.",Tues. 7 - 9 p.m. (closed third Tuesday); Call for hours,no restrictions,allowed,t,,
"Neighborhood Legal Clinics\, 19th Ave. E.",http://kcba.org/For-the-Public/Free-Legal-Assistance/,(206) 267-7070,500 19th Ave E,"Call for times and to schedule an appointment. Appointments are only scheduled 7 days in advance. Provide legal consultation\, free limited legal advice and referrals for a wide range of civil legal issues including\, but not limited to\, living wills/ advance directives\, powers-of-attorney\, wills\, estate planning\, Apple Health (Medicaid)\, etc. Accommodations for disability and interpreters are provided free of cost. Serves King County residents or those who have a case filed in King County.",Tues. 7 - 9 p.m. (closed third Tuesday); Call for hours,no restrictions,allowed,t,,
"Neighborhood Legal Clinics\, Greenwood Ave. N.",http://kcba.org/For-the-Public/Free-Legal-Assistance/,(206) 267-7070,7500 Greenwood Ave N,"Call for times and to schedule an appointment. Appointments are only scheduled 7 days in advance. Provide legal consultation\, free limited legal advice and referrals for a wide range of civil legal issues including\, but not limited to\, living wills/ advance directives\, powers-of-attorney\, wills\, estate planning\, Apple Health (Medicaid)\, etc. Accommodations for disability and interpreters are provided free of cost. Serves King County residents or those who have a case filed in King County.",Tues. 7 - 9 p.m. (closed third Tuesday); Call for hours,no restrictions,allowed,t,,
"Neighborhood Legal Clinics\, Lake City",http://kcba.org/For-the-Public/Free-Legal-Assistance/,(206) 267-7070,"12525 28th Ave NE\, Lake City","Call for times and to schedule an appointment. Appointments are only scheduled 7 days in advance. Provide legal consultation\, free limited legal advice and referrals for a wide range of civil legal issues including\, but not limited to\, living wills/ advance directives\, powers-of-attorney\, wills\, estate planning\, Apple Health (Medicaid)\, etc. Accommodations for disability and interpreters are provided free of cost. Serves King County residents or those who have a case filed in King County.",Tues. 7 - 9 p.m. (closed third Tuesday); Call for hours,no restrictions,allowed,t,,
"Neighborhood Legal Clinics\, S. Othello St.",http://kcba.org/For-the-Public/Free-Legal-Assistance/,(206) 267-7070,"3815 S Othello St\, Suite 105","Call for times and to schedule an appointment. Appointments are only scheduled 7 days in advance. Provide legal consultation\, free limited legal advice and referrals for a wide range of civil legal issues including\, but not limited to\, living wills/ advance directives\, powers-of-attorney\, wills\, estate planning\, Apple Health (Medicaid)\, etc. Accommodations for disability and interpreters are provided free of cost. Serves King County residents or those who have a case filed in King County.",Tues. 7 - 9 p.m. (closed third Tuesday); Call for hours,no restrictions,allowed,t,,
"Neighborhood Legal Clinics\, SW Thistle St.",http://kcba.org/For-the-Public/Free-Legal-Assistance/,(206) 267-7070,2801 SW Thistle St,"Call for times and to schedule an appointment. Appointments are only scheduled 7 days in advance. Provide legal consultation\, free limited legal advice and referrals for a wide range of civil legal issues including\, but not limited to\, living wills/ advance directives\, powers-of-attorney\, wills\, estate planning\, Apple Health (Medicaid)\, etc. Accommodations for disability and interpreters are provided free of cost. Serves King County residents or those who have a case filed in King County.",Tues. 7 - 9 p.m. (closed third Tuesday); Call for hours,no restrictions,allowed,t,,
"Neighborhood Legal Clinics\, SW Oregon St.",http://kcba.org/For-the-Public/Free-Legal-Assistance/,(206) 267-7070,4217 SW Oregon St.,"Call for times and to schedule an appointment. Appointments are only scheduled 7 days in advance. Provide legal consultation\, free limited legal advice and referrals for a wide range of civil legal issues including\, but not limited to\, living wills/ advance directives\, powers-of-attorney\, wills\, estate planning\, Apple Health (Medicaid)\, etc. Accommodations for disability and interpreters are provided free of cost. Serves King County residents or those who have a case filed in King County.",Tues. 7 - 9 p.m. (closed third Tuesday); Call for hours,no restrictions,allowed,t,,
Pike Market Senior Center,http://pikemarketseniorcenter.org,(206) 728-2773,85 Pike St,Breakfasts and hot lunches served daily. Social worker referrals available Monday - Friday. Serves adults 55 and older. Call or visit in person. Documents Required: Photo ID. No fees.,"Open Mon. - Fri. 8 a.m. - 4 p.m. and Sat. - Sun. 8 a.m. - 1 p.m.; Meals served Mon. – Fri.\, 8:20 a.m. and 12 p.m.; Sun.\, Sat.\, 8:20 a.m. and 11:30 a.m.",no restrictions,allowed,t,,
Senior Housing Assistance Group (SHAG),http://housing4seniors.com/communities,(844) 592-7424,3642 33rd Ave S.,"28+ apartment communities with in-home care serving income qualified seniors. Age and income restrictions vary by community. Visit website\, call or stop by for more information\, eligibility requirements\, application and fees.",Mon. - Fri. 8 a.m. – 4:30 p.m.,no restrictions,allowed,t,,
South Park Senior Center,http://spseniors.org,(206) 767-2544,8201 10th Ave. S. Suite #4,"Serves adults 50 and older. $3 donation requested. See website for programs including\, Yoga Classes\, Line Dancing\, Karaoke\, Fitness Classes\, Ceramics Classes\, Book Club\, and Game Nights. Check calendar for ongoing clinics and informational sessions for dental care\, senior nutrition\, flu shots and more.","Dinner: Mon.\, Wed.\, Fri.\, 5:30 - 6:30 p.m.; Lunch: Tue.\, 11:30 a.m. - 12:30 p.m.",no restrictions,allowed,t,,
St . Martin de Porres,http://ccsww.org/get-help/shelter-homeless-services/st-martin-de-porres-shelter/,(206) 323-6341,Intake/Screening: 2329 Rainier Ave. S.; Shelter: 1561 Alaskan Way S.,"Screening and intake begin nightly at 6 p.m.\, with the last shuttle departing to the shelter at 7:00pm. Shelter services are provided nightly from 6:30 p.m.- 7:30 a.m. with transportation provided back to the Lazarus Center in the morning. The shelter is open 365 days a year and provides 24-hour care for the ill or injured. Provides a safe and dignified night shelter for homeless men age 50 and older. Offers hot meals\, clothing\, restroom and shower facilities\, laundry room\, chapel\, housing case management\, drug and alcohol counseling and AA Meetings. Not wheelchair accessible. Documents Required: photo ID. No fees.",Screening and intake nightly at 6 p.m.; Shelter: nightly from 6:30 p.m.- 7:30 a.m. ,no restrictions,allowed,t,,
Blaine Center Shelter,http://compasshousingalliance.org,(206) 474-1660,Referral: 77 S. Washington St.,"24-hour shelter that provides dinner\, breakfast\, showers\, laundry\, limited storage\, housing navigation and referral services. Serves single men 18 years and older. Visit Compass Client Services office in person for referral; self referral space is very limited. $21/weekly charge",Referrals: Mon. – Fri. 9 a.m. – 4 p.m.,men only,not allowed,t,,
Catholic Community Services Women’s Referral Center,http://ccsww.org/,(206) 441-3210,2030 Third Ave.,"Nightly emergency shelter screening and referral for women\, 18 and older. No children. Visit in person. Priority given to clients who arrive by 8 p.m. No fees. *Services may be limited due to religious affiliation.",Screening and referral (in-person only): nightly: 6 – 9 p.m.,women only,not allowed,t,,
DESC Shelter,http://desc.org,(206) 464-1570 x 3033,517 Third Ave.,"Emergency shelters. The main shelter offers on-site medical care\, mental health counseling and substance use disorder treatment. Serves women 18 and older\, men 60 and older and anyone 18 and older who is vulnerable due to mental illness\, developmental disability\, substance use disorder and/or medical condition. Visit in person to register. Only professional referrals accepted after 5 p.m. Documents required: documentation of disability or vulnerability may be required. No fees.",Contact: 24 hours; intake: daily: 8 a.m. – 4:45 p.m.; Shelter: 24/7,no restrictions,not allowed,t,,
Eastside Shelter for Families,http://ccsww.org,(206) 441-3210,Call for location,"Emergency shelter for single women and families\, Including families with male heads of household. Operates year round. Rotates between churches on the Eastside. Call for current location. Meals provided. No fees.",24 hours a day,no restrictions,allowed,t,,
Hospitality House,http://hospitalityhousesouthking.org/shelter-criteria/,(206) 242-1860,"1419 SW 150th St.\, Burien","Dormitory-style shelter with stays up to three months\, serving single\, homeless women 18 and older. Can accept clients if at least six months since domestic violence situation was active. Cannot serve clients who have severe mental illness\, current substance abuse problems\, have violent criminal convictions\, or are at least 6-months pregnant. Does not accept pets. Call for screening interview. Referral not required. No fees.","Phone screening: Mon. – Thurs.\,: 1 – 7 p.m.; Shelter: Mon. – Thurs.\, 24 hours; Fri. – Sun.\, overnight only",women only,not allowed,t,,
King County Family Emergency Community Shelter Intake Line,,(206) 245-1026,Call for location,24 hours intake for emergency night shelter for pregnant women and families with a minor child living outside or in a car.,24 hours a day,no restrictions,allowed,t,,
King County Homeless Shelter Program,http://resourcetalk.crisisclinic.org,(206) 263-9089; Call 211 for referral,Call for location,"Shelter beds serving men\, 18 and older. Serves trans clients identifying as male; notify staff of accommodations needed. Serves men fleeing DV\, but location is not confidential. Service animals and pets are allowed. Visit in person. Intake for both locations at the King County Administration Building at 4th & Jefferson. Line forms in front of the garage door. No fees.",24 hours a day,men only,not allowed,t,,
Operation Nightwatch,http://seattlenightwatch.org/get-help/nightwatch-shelter/,(206) 329-2099; DESC Men's tickets: (206) 464-1570; Bread of Life Mission Men's tickets: (206) 682-3579,302 14th Ave. S.;  DESC Men's tickets: 517 Third Ave.; Bread of Life Mission Men's tickets: 97 S. Main St.,"Late-night referrals and transportation to downtown Seattle shelters. Wheelchair accessible. Serves single men and women\, 18 and older. Men must either first obtain a referral ticket from one of the shelters listed\, or provide an Operation Nightwatch ticket from the previous night. Women can visit site without a referral ticket. Referral tickets and admission to the Operation Nightwatch Dispatch center do not guarantee placement into a shelter. No fees.",In-person intake: 7 p.m. – 12 a.m. nightly; DESC Tickets: 7:30am Mon. – Fri.; Bread of Life Tickets: 4:30 p.m. daily,no restrictions,not allowed,t,,
"Salvation Army\, Pike St.",http://salvationarmynw.org/,(206) 447-9944; Call 211 for referral,1101 Pike St.,"Confidential domestic violence services focused on DV education\, safety planning\, and referrals. Serves adults\, with or without children\, within King County who are fleeing a DV situation. Language interpretation available. Limited basic needs and financial assistance. For financial assistance\, Income eligibility and other criteria apply. Please call and ask to speak with the DV Advocate on duty for a brief eligibility screening. No fees. *Services may be limited due to religious affiliation.","Mon.\, 8:15 a.m. – noon\, 1 – 3 p.m.; Tue. – Fri.\, 8:15 a.m. – noon\, 1 – 4 p.m.",no restrictions,not allowed,t,,
Seattle’s Union Gospel Mission Men’s Shelter ,http://ugm.org,(206) 622-5177,318 Second Ave. Extension S.,Operates an emergency shelter. Serves homeless men 18 and older. Accepts offenders. Chapel service attendance is required for some services. Call to check space availability and to reserve a ticket for the night. Clients without a ticket should line up for unclaimed mats beginning at 7:15 p.m. Documents Required: ID. No fees. *Services may be limited due to religious affiliation.,"Phone inquiries and tickets: daily: 9:30 – 11:30 a.m.\, 12:30 – 5:30 p.m.\, 10 p.m. – 6 a.m.; In-person intake with tickets: 8 p.m. nightly",men only,not allowed,t,,
"SHARE/WHEEL\, Second Ave.",http://sharewheel.org/need-shelter,Apply in person,1902 Second Ave.,"Shelter serving homeless men and women\, 18 and older. Service animals allowed\, no pets. No fees.","Mon.\, Thurs.\, 1 p.m.; Tue.\, Wed.\, Fri.\, Sat.\, 6 p.m.",no restrictions,not allowed,t,,
"SHARE/WHEEL\, Mercer St.",http://sharewheel.org/share-lockers,(206) 623-0390,963 Mercer St.,"Day and long-term storage\, in exchange for labor hours in storage facility. Attendance of one meeting is required per month. Labor required is about two hours per month. Best chance to find an opening are Fridays and Sundays. Serves anyone who is homeless and can provide labor. Visit in person to apply. No fees.","Mon. – Fri.\, 6:30 – 8:30 a.m.; Sat.\, Sun.\,  Federal holidays\, 7 – 9 a.m.",no restrictions,allowed,t,,
DAWN,http://dawnrising.org,(425) 656-7867,"221 W. Gowe St.\, Kent","Offers a wide array of services such as a 24-hour helpline\, advocacy and support groups. Offers confidential supportive emergency shelter\, mental health support\, support groups and children’s advocacy. Serves adults\, with or without children\, who are survivors of domestic violence. Call for more information about eligibility\, applications and fees.",Shelter and Helpline: 24 hours,no restrictions,allowed,t,,
Escape to Peace,http://escapetopeace.org/trauma-therapy/,(425) 449-8917,"11100 Main St.\, Suite 101",Offers self-regulation therapy. Serves anyone who has had trauma in their lives. Call or visit in person to make an appointment. Documents Required: prefer picture ID or student ID. No fees.,"By Appointment: Mon. – Fri.\, 11 a.m. – 7 p.m.",no restrictions,allowed,t,,
"Harborview Medical Center\, Emergency Medical Services",http://uwmedicine.org/locations/,(206) 744-3074,325 Ninth Ave.,"Medical care\, psychosocial evaluations and counseling for child sexual assault victims or adult victims of rape. After hours or within 120 hours of an assault\, call or visit Harborview Emergency Room and ask for a social worker. If during business hours\, call the Center for Sexual Assault for an appointment.  Call for more fee information. Accepts Apple Health (Medicaid)\, victims compensation\, private insurance and Medicare. Low-income patients may be eligible for free services.",24 hours a day,no restrictions,allowed,t,,
"Harborview Medical Center\, Center for Sexual Assault and Traumatic Stress",http://uwmedicine.org/locations/,(206) 744-1600,401 Broadway Suite 2075,"Medical care\, psychosocial evaluations and counseling for child sexual assault victims or adult victims of rape. After hours or within 120 hours of an assault\, call or visit Harborview Emergency Room and ask for a social worker. If during business hours\, call the Center for Sexual Assault for an appointment.  Call for more fee information. Accepts Apple Health (Medicaid)\, victims compensation\, private insurance and Medicare. Low-income patients may be eligible for free services.","Mon. – Fri.\, 8:30 a.m. – 5 p.m.",no restrictions,allowed,t,,
LifeWire,http://lifewire.org,(425) 746-1940,Confidential Location,"Array of services such as confidential emergency shelter\, 24- hour helpline\, counseling\, housing stability\, advocacy and support groups\, for survivors of domestic violence of any gender\, with or without children. Call helpline for more information.",Helpline: 24 hours,no restrictions,allowed,t,,
KC Bar Association DV Family Law Clinic,http://kcba.org/For-the-Public/Free-Legal-Assistance/,(206) 783-2848,Confidential Location,Legal clinic serving domestic violence victims with family law issues only. For King County residents or those who have a case filed in King County. Call for eligibility screening. No fees.,"Phone Screening: Wed.\, 1 – 3 p.m.; Clinic: Wed evenings",no restrictions,allowed,t,,
New Beginnings,http://newbegin.org,(206) 783-4520; Helpline: (206) 522-9472,Confidential Location,"Confidential shelter\, helpline\, legal advocacy\, counseling\, support groups and safety planning services offered\, serving survivors with or without children\, who are abused by partners in intimate relationships. Some services are female-identifying only\, while others serve everyone. Call helpline for information and intake. No fees.","Helpline: 24 hours; office: Mon. – Fri.\, 9 a.m. – 5 p.m. ",no restrictions,allowed,t,,
Northwest Family Life,http://northwestfamilylife.org/suvivor-services/,(206) 363-9601,12360 Lake City Way NE,"Offers advocacy based counseling\, safety planning\, education on domestic violence and referrals to legal\, housing\, employment and spiritual resources. Weekly support groups. Serves women and children who are experiencing or have experienced abuse. Call for appointment. No fees.","Mon. – Fri.\, 9 a.m. – 5 p.m.; support group hours vary",women only,allowed,t,,
Northwest Justice Project ,http://nwjustice.org,Referral from New Beginnings: (206) 522-9472,401 Second Ave. S. Suite 407,Legal advice and representation in family law issues for Seattle residents with income of no more than 200 percent of the Federal Poverty Level who have been referred by a DV advocate. If the client does not already have an advocate contact New Beginnings at (206) 522-9472 for a potential referral.,"Office: Mon. – Fri.\, 9 a.m. – 5 p.m.",no restrictions,allowed,t,,
Real Escape from the Sex Trade,http://iwantrest.com/services/,(206) 451-7378,"4215 Rainier Ave. S.\, Suite B","Emergency shelter that provides referrals\, crisis intervention\, case management and advocacy\, for women\, 18 and older\, who may be victims of sex trafficking. Accepts trans clients on a case-by-case basis. Call helpline for intake. No fees.",Helpline: 24 hours,women only,not allowed,t,,
Shepherd’s Counseling Services ,http://shepherdstherapy.org/index.php/find-help/find-help/,(206) 323-7131,2601 Broadway E.,"Individual and group therapy and support groups\, for adult survivors of childhood sexual abuse. Cannot serve sex offenders. Call for free initial consultation and evaluation. Sliding scale fees.","Mon. – Fri.\, 9 a.m. – 6 p.m.",no restrictions,allowed,t,,
